,score,phase,subject,round,block1,block2,block3,dim1,dim2,dim3,dim4,X,dim1_choice_value,dim1_category,Y,dim2_choice_value,dim2_category,Z,dim3_choice_value,dim3_category,T,dim4_choice_value,dim4_category
1116,73.0,P1,oct2602,27,"[211, 121, 232]","[331, 112, 133]","[223, 313, 322]","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 2, 2, 1, 1, 3, 2, 3, 3)",,21.852000000000004,32.593,122,46.666,57.407,122,135.555,46.296,222,,,
1117,88.0,P1,oct2602,28,"[131, 311, 221]","[322, 112, 232]","[123, 213, 333]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,,,
1118,90.0,P1,oct2602,29,"[211, 331, 121]","[312, 132, 222]","[323, 113, 233]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,,,
1119,88.0,P1,oct2602,30,"[231, 321, 111]","[312, 222, 132]","[123, 213, 333]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,,,
1120,56.0,P2,oct2602,1,"[3312, 2132, 1222]","[2213, 3123, 1333]","[1111, 3231, 2321]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,415.92600000000004,26.667,333
1121,54.0,P2,oct2602,2,"[2231, 1311, 3121]","[1222, 2112, 3332]","[2323, 1133, 3213]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,459.259,70.0,333
1122,55.0,P2,oct2602,3,"[3123, 1333, 2213]","[3311, 2131, 1221]","[1112, 3232, 2322]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111,394.815,5.556,333
1123,56.0,P2,oct2602,4,"[3121, 1223, 2322]","[3333, 2231, 1132]","[2113, 1311, 3212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,223.33300000000003,34.074,111,415.92600000000004,26.667,333,223.33300000000003,34.074,111
1124,91.0,P2,oct2602,5,"[3122, 1113, 2131]","[1221, 3233, 2212]","[3311, 2323, 1332]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1125,22.0,P2,oct2602,6,"[1312, 3333, 2321]","[1223, 3211, 2232]","[2113, 1131, 3122]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 2, 2, 2, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,389.259,0.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1126,69.0,P2,oct2602,7,"[2211, 1222, 3233]","[3121, 1113, 2132]","[2323, 3312, 1331]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 1, 1, 1, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,425.92600000000004,36.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1127,89.0,P2,oct2602,8,"[1131, 2112, 3123]","[1222, 2233, 3211]","[2321, 1313, 3332]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1128,76.0,P2,oct2602,9,"[3121, 2133, 1112]","[3313, 2322, 1331]","[2211, 1223, 3232]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",223.33300000000003,34.074,111,454.815,65.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1129,68.0,P2,oct2602,10,"[2111, 3212, 3123]","[2233, 1221, 1132]","[3331, 2322, 1313]","(2, 3, 3, 1, 1, 2, 1, 2, 3)","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",3.333,14.074,122,348.148,58.889,223,43.333,54.074,122,223.33300000000003,34.074,111
1130,95.0,P2,oct2602,11,"[3122, 1111, 2133]","[2212, 1223, 1332]","[3231, 2321, 3313]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,21.481,32.222,122
1131,75.0,P2,oct2602,12,"[2111, 3122, 1133]","[2232, 3331, 3213]","[1221, 1312, 2323]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",20.0,30.741,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
1132,75.0,P2,oct2602,13,"[3112, 1121, 2133]","[3231, 2222, 3323]","[2311, 1213, 1332]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",20.0,30.741,122,357.778,68.519,223,21.481,32.222,122,223.33300000000003,34.074,111
1133,87.0,P2,oct2602,14,"[3132, 1123, 2111]","[1231, 2333, 2222]","[1312, 3213, 3321]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,357.778,68.519,223,20.0,30.741,122,223.33300000000003,34.074,111
1134,93.0,P2,oct2602,15,"[2123, 3112, 1131]","[2232, 1322, 1213]","[3333, 3221, 2311]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,21.481,32.222,122
1135,93.0,P2,oct2602,16,"[1113, 3132, 2121]","[2212, 1322, 1231]","[3311, 3223, 2333]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,24.814999999999998,35.556,122
1136,86.0,P2,oct2602,17,"[1131, 2122, 3113]","[1212, 3332, 2233]","[2311, 1323, 3221]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",223.33300000000003,34.074,111,357.778,68.519,223,21.852000000000004,32.593,122,21.481,32.222,122
1137,80.0,P2,oct2602,18,"[3131, 2122, 1113]","[1232, 3312, 3223]","[2333, 2211, 1321]","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",21.852000000000004,32.593,122,357.778,68.519,223,223.33300000000003,34.074,111,21.481,32.222,122
1138,86.0,P2,oct2602,19,"[2121, 1132, 3113]","[3222, 2312, 1211]","[1323, 2233, 3331]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",223.33300000000003,34.074,111,357.778,68.519,223,26.665999999999997,37.407,122,24.814999999999998,35.556,122
1139,85.0,P2,oct2602,20,"[1112, 2123, 3131]","[2332, 1233, 3222]","[1321, 3313, 2211]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",223.33300000000003,34.074,111,357.778,68.519,223,20.0,30.741,122,21.481,32.222,122
1140,82.0,P2,oct2602,21,"[2121, 1133, 3112]","[2232, 1322, 3331]","[2313, 3223, 1211]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",223.33300000000003,34.074,111,356.29600000000005,67.037,223,20.0,30.741,122,24.814999999999998,35.556,122
1141,78.0,P2,oct2602,22,"[3132, 2123, 1111]","[3221, 2331, 1322]","[3313, 1233, 2212]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",223.33300000000003,34.074,111,356.29600000000005,67.037,223,21.481,32.222,122,26.665999999999997,37.407,122
1142,68.0,P2,oct2602,23,"[1133, 2122, 3111]","[3223, 3332, 2313]","[2231, 1321, 1212]","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",20.0,30.741,122,356.29600000000005,67.037,223,223.33300000000003,34.074,111,20.0,30.741,122
1143,89.0,P2,oct2602,24,"[2122, 1111, 3133]","[2331, 2213, 1232]","[3312, 3221, 1323]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",24.814999999999998,35.556,122,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111
1144,79.0,P2,oct2602,25,"[2123, 1132, 3111]","[2231, 2312, 3222]","[1321, 3333, 1213]","(1, 2, 3, 2, 2, 3, 1, 1, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",21.481,32.222,122,357.778,68.519,223,223.33300000000003,34.074,111,24.814999999999998,35.556,122
1145,85.0,P2,oct2602,26,"[2121, 3133, 1112]","[1231, 2332, 3222]","[2213, 3311, 1323]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",223.33300000000003,34.074,111,357.778,68.519,223,20.0,30.741,122,24.814999999999998,35.556,122
1146,85.0,P2,oct2602,27,"[1122, 2133, 3111]","[1331, 2221, 2312]","[1213, 3323, 3232]","(1, 2, 3, 1, 2, 2, 1, 3, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",24.814999999999998,35.556,122,356.29600000000005,67.037,223,223.33300000000003,34.074,111,26.665999999999997,37.407,122
1147,96.0,P2,oct2602,28,"[2111, 1122, 3133]","[1231, 1313, 2223]","[2332, 3212, 3321]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,21.852000000000004,32.593,122
1148,94.0,P2,oct2602,29,"[1123, 3111, 2132]","[1212, 1331, 2221]","[3233, 3322, 2313]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,26.665999999999997,37.407,122
1149,93.0,P2,oct2602,30,"[3133, 1121, 2112]","[1232, 2223, 1313]","[2331, 3211, 3322]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",26.665999999999997,37.407,122,357.778,68.519,223,223.33300000000003,34.074,111,20.0,30.741,122
1150,91.0,P2,oct2602,31,"[1211, 1123, 1332]","[2222, 2313, 2131]","[3233, 3112, 3321]","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1151,90.0,P2,oct2602,32,"[1121, 1233, 1312]","[2113, 2222, 2331]","[3323, 3211, 3132]","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",459.259,70.0,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,223.33300000000003,34.074,111
1152,96.0,P2,oct2602,33,"[1122, 2131, 1211]","[1333, 2223, 2312]","[3113, 3232, 3321]","(1, 1, 2, 1, 2, 2, 3, 3, 3)","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 2, 2, 3, 3, 1, 2, 3)",348.148,58.889,223,43.333,54.074,122,223.33300000000003,34.074,111,43.333,54.074,122
1153,95.0,P2,oct2602,34,"[1122, 2113, 1311]","[2221, 1233, 3131]","[3323, 2332, 3212]","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 1, 3, 1, 2, 2, 2, 3, 3)","(1, 1, 2, 2, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)",46.666,57.407,122,137.778,48.519,222,43.333,54.074,122,25.185000000000002,35.926,122
1154,64.0,P2,oct2602,35,"[3113, 1212, 2311]","[1121, 1333, 2223]","[3231, 3322, 2132]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)",26.665999999999997,37.407,122,223.33300000000003,34.074,111,357.778,68.519,223,21.852000000000004,32.593,122
1155,100.0,P2,oct2602,36,"[2112, 1123, 1232]","[2221, 3131, 1311]","[3322, 2333, 3213]","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 1, 2, 1, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 3, 1, 1, 1, 2, 3, 3)",46.666,57.407,122,46.666,57.407,122,223.33300000000003,34.074,111,315.555,26.296,223
1156,76.0,P1,oct2603,1,"[223, 122, 111]","[332, 212, 231]","[321, 313, 133]","(1, 1, 2, 2, 2, 3, 1, 3, 3)","(1, 2, 2, 1, 3, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",,144.815,55.556,222,32.222,42.963,122,24.814999999999998,35.556,122,,,
1157,76.0,P1,oct2603,2,"[122, 113, 131]","[332, 323, 311]","[221, 212, 233]","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,454.815,65.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,,,
1158,90.0,P1,oct2603,3,"[313, 112, 211]","[121, 322, 223]","[133, 232, 331]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,,,
1159,39.0,P1,oct2603,4,"[232, 221, 213]","[311, 333, 322]","[131, 112, 123]","(2, 2, 2, 3, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,415.92600000000004,26.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,,,
1160,89.0,P1,oct2603,5,"[113, 132, 121]","[312, 211, 233]","[331, 323, 222]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,357.778,68.519,223,25.185000000000002,35.926,122,223.33300000000003,34.074,111,,,
1161,39.0,P1,oct2603,6,"[132, 333, 231]","[213, 111, 312]","[123, 321, 222]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 1, 1, 1, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,394.815,5.556,333,223.33300000000003,34.074,111,,,
1162,54.0,P1,oct2603,7,"[122, 232, 312]","[133, 213, 323]","[331, 111, 221]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)",,223.33300000000003,34.074,111,223.33300000000003,34.074,111,415.92600000000004,26.667,333,,,
1163,20.0,P1,oct2603,8,"[131, 333, 232]","[223, 122, 321]","[113, 312, 211]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(3, 3, 3, 2, 2, 2, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,389.259,0.0,333,223.33300000000003,34.074,111,,,
1164,56.0,P1,oct2603,9,"[231, 311, 121]","[222, 332, 112]","[133, 323, 213]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)",,223.33300000000003,34.074,111,223.33300000000003,34.074,111,459.259,70.0,333,,,
1165,39.0,P1,oct2603,10,"[321, 222, 123]","[332, 233, 131]","[211, 313, 112]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(2, 2, 2, 3, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,415.92600000000004,26.667,333,223.33300000000003,34.074,111,,,
1166,91.0,P1,oct2603,11,"[212, 113, 311]","[121, 223, 322]","[231, 333, 132]","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 2, 3, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,223.33300000000003,34.074,111,459.259,70.0,333,223.33300000000003,34.074,111,,,
1167,37.0,P1,oct2603,12,"[221, 212, 233]","[331, 313, 322]","[123, 132, 111]","(2, 2, 2, 3, 3, 3, 1, 1, 1)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,415.92600000000004,26.667,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,,,
1168,89.0,P1,oct2603,13,"[133, 122, 111]","[212, 313, 321]","[231, 332, 223]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,356.29600000000005,67.037,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111,,,
1169,84.0,P1,oct2603,14,"[212, 113, 311]","[122, 131, 332]","[233, 323, 221]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",,25.185000000000002,35.926,122,356.29600000000005,67.037,223,24.814999999999998,35.556,122,,,
1170,89.0,P1,oct2603,15,"[112, 133, 121]","[211, 313, 322]","[223, 331, 232]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,356.29600000000005,67.037,223,26.665999999999997,37.407,122,223.33300000000003,34.074,111,,,
1171,89.0,P1,oct2603,16,"[213, 311, 112]","[123, 131, 322]","[333, 232, 221]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,25.185000000000002,35.926,122,357.778,68.519,223,223.33300000000003,34.074,111,,,
1172,86.0,P1,oct2603,17,"[113, 132, 211]","[121, 312, 331]","[233, 323, 222]","(1, 1, 2, 1, 3, 3, 2, 2, 3)","(1, 1, 3, 1, 2, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",,145.185,55.926,222,36.296,47.037,122,26.665999999999997,37.407,122,,,
1173,95.0,P1,oct2603,18,"[111, 312, 213]","[132, 123, 222]","[321, 231, 333]","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 2, 2, 3, 1, 1, 3)",,26.665999999999997,37.407,122,357.778,68.519,223,21.481,32.222,122,,,
1174,86.0,P1,oct2603,19,"[111, 122, 133]","[213, 312, 331]","[323, 221, 232]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,356.29600000000005,67.037,223,25.185000000000002,35.926,122,223.33300000000003,34.074,111,,,
1175,92.0,P1,oct2603,20,"[113, 122, 131]","[312, 211, 321]","[232, 333, 223]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)",,356.29600000000005,67.037,223,26.665999999999997,37.407,122,26.665999999999997,37.407,122,,,
1176,86.0,P1,oct2603,21,"[133, 112, 121]","[311, 213, 332]","[222, 231, 323]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,356.29600000000005,67.037,223,25.185000000000002,35.926,122,223.33300000000003,34.074,111,,,
1177,90.0,P1,oct2603,22,"[123, 112, 131]","[313, 211, 321]","[332, 222, 233]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)",,356.29600000000005,67.037,223,26.665999999999997,37.407,122,25.185000000000002,35.926,122,,,
1178,90.0,P1,oct2603,23,"[113, 132, 121]","[322, 212, 311]","[231, 333, 223]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 2, 2, 1, 3, 3)",,356.29600000000005,67.037,223,26.665999999999997,37.407,122,24.814999999999998,35.556,122,,,
1179,79.0,P1,oct2603,24,"[111, 132, 123]","[233, 212, 331]","[322, 221, 313]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,357.778,68.519,223,21.852000000000004,32.593,122,223.33300000000003,34.074,111,,,
1180,76.0,P1,oct2603,25,"[122, 111, 133]","[332, 313, 321]","[212, 223, 231]","(1, 1, 1, 3, 3, 3, 2, 2, 2)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)",,454.815,65.556,333,223.33300000000003,34.074,111,223.33300000000003,34.074,111,,,
1181,59.0,P1,oct2603,26,"[221, 311, 131]","[113, 122, 332]","[233, 323, 212]","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 1, 2, 3, 1, 2, 3)","(1, 1, 1, 2, 2, 3, 2, 3, 3)",,25.185000000000002,35.926,122,223.33300000000003,34.074,111,357.778,68.519,223,,,
1182,94.0,P1,oct2603,27,"[133, 121, 112]","[211, 313, 223]","[232, 331, 322]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 1, 2, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)",,357.778,68.519,223,26.665999999999997,37.407,122,21.852000000000004,32.593,122,,,
1183,80.0,P1,oct2603,28,"[112, 131, 123]","[333, 213, 232]","[311, 221, 322]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",,357.778,68.519,223,21.852000000000004,32.593,122,20.0,30.741,122,,,
1184,78.0,P1,oct2603,29,"[113, 132, 121]","[233, 211, 331]","[323, 222, 312]","(1, 1, 1, 2, 2, 3, 2, 3, 3)","(1, 2, 3, 1, 3, 3, 1, 2, 2)","(1, 2, 3, 1, 1, 3, 2, 2, 3)",,357.778,68.519,223,21.852000000000004,32.593,122,25.185000000000002,35.926,122,,,
1185,84.0,P1,oct2603,30,"[132, 123, 111]","[312, 213, 333]","[231, 222, 321]","(1, 1, 1, 2, 3, 3, 2, 2, 3)","(1, 2, 3, 1, 1, 3, 2, 2, 3)","(1, 2, 3, 2, 3, 3, 1, 1, 2)",,356.29600000000005,67.037,223,25.185000000000002,35.926,122,20.0,30.741,122,,,
